event_name,event_date,event_location,winner,fighter_a_name,fighter_b_name,weightclass,method_of_victory,round_of_victory,time_of_victory,time_format,referee,title_fight,gender,Fighter A Odds,Fighter A Avg Odds,Fighter A Best Odds,Fighter B Odds,Fighter B Avg Odds,Fighter B Best Odds
UFC Fight Night: Ladd vs. Dumont,2021-10-16,"Las Vegas, Nevada, USA",Andrei Arlovski,Andrei Arlovski,Carlos Felipe,Heavyweight,Decision - Unanimous,3,5:00,3,Herb Dean,False,men,"[{'Bookmaker': 'Betfair', 'Odds Price': 100}, {'Bookmaker': 'Betfair', 'Odds Price': -109}, {'Bookmaker': 'MyBookie.ag', 'Odds Price': -115}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': -119}, {'Bookmaker': 'LowVig.ag', 'Odds Price': -118}, {'Bookmaker': 'William Hill (US)', 'Odds Price': -105}, {'Bookmaker': 'SugarHouse', 'Odds Price': -109}, {'Bookmaker': 'TwinSpires', 'Odds Price': -109}, {'Bookmaker': 'DraftKings', 'Odds Price': -115}, {'Bookmaker': 'BetRivers', 'Odds Price': -109}, {'Bookmaker': 'Barstool Sportsbook', 'Odds Price': -109}, {'Bookmaker': 'FanDuel', 'Odds Price': -116}, {'Bookmaker': 'WynnBET', 'Odds Price': -115}, {'Bookmaker': 'FOX Bet', 'Odds Price': -110}, {'Bookmaker': 'Unibet', 'Odds Price': -109}, {'Bookmaker': 'Bovada', 'Odds Price': -110}]",-111.0,"{'Odds': 100, 'Bookmaker': 'Betfair'}",[],,
UFC Fight Night: Ladd vs. Dumont,2021-10-16,"Las Vegas, Nevada, USA",Jim Miller,Jim Miller,Erick Gonzalez,Lightweight,KO/TKO,2,0:14,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Ladd vs. Dumont,2021-10-16,"Las Vegas, Nevada, USA",Nate Landwehr,Nate Landwehr,Ludovit Klein,Featherweight,Submission,3,2:22,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Ladd vs. Dumont,2021-10-16,"Las Vegas, Nevada, USA",Luana Carolina,Luana Carolina,Loopy Godinez,Flyweight,Decision - Unanimous,3,5:00,3,Chris Tognoni,False,women,[],,,[],,
UFC Fight Night: Ladd vs. Dumont,2021-10-16,"Las Vegas, Nevada, USA",Batgerel Danaa,Batgerel Danaa,Brandon Davis,Bantamweight,KO/TKO,1,2:01,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,"Las Vegas, Nevada, USA",Matheus Nicolau,Matheus Nicolau,Tim Elliott,Flyweight,Decision - Unanimous,3,5:00,3,Jason Herzog,False,men,[],,,[],,
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,"Las Vegas, Nevada, USA",Loopy Godinez,Loopy Godinez,Silvana Gomez Juarez,Strawweight,Submission,1,4:14,3,Herb Dean,False,women,[],,,[],,
UFC Fight Night: Santos vs. Walker,2021-10-02,"Las Vegas, Nevada, USA",Alexander Hernandez,Alexander Hernandez,Mike Breeden,Lightweight,KO/TKO,1,1:20,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Santos vs. Walker,2021-10-02,"Las Vegas, Nevada, USA",Douglas Silva de Andrade,Douglas Silva de Andrade,Gaetano Pirrello,Bantamweight,KO/TKO,1,2:04,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Santos vs. Walker,2021-10-02,"Las Vegas, Nevada, USA",Stephanie Egger,Stephanie Egger,Shanna Young,Bantamweight,KO/TKO,2,2:22,3,Mark Smith,False,women,[],,,[],,
UFC 266: Volkanovski vs. Ortega,2021-09-25,"Las Vegas, Nevada, USA",Nick Maximov,Nick Maximov,Cody Brundage,Middleweight,Decision - Unanimous,3,5:00,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Smith vs. Spann,2021-09-18,"Las Vegas, Nevada, USA",Rongzhu,Rongzhu,Brandon Jenkins,Lightweight,KO/TKO,3,4:35,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Smith vs. Spann,2021-09-18,"Las Vegas, Nevada, USA",Montel Jackson,Montel Jackson,JP Buys,Bantamweight,Decision - Unanimous,3,5:00,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Brunson vs. Till,2021-09-04,"Las Vegas, Nevada, USA",Paddy Pimblett,Paddy Pimblett,Luigi Vendramini,Lightweight,KO/TKO,1,4:25,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Brunson vs. Till,2021-09-04,"Las Vegas, Nevada, USA",Jack Shore,Jack Shore,Liudvik Sholinian,Bantamweight,Decision - Unanimous,3,5:00,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Barboza vs. Chikadze,2021-08-28,"Las Vegas, Nevada, USA",Bryan Battle,Bryan Battle,Gilbert Urbina,Middleweight,Submission,2,2:15,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Barboza vs. Chikadze,2021-08-28,"Las Vegas, Nevada, USA",Ricky Turcios,Ricky Turcios,Brady Hiestand,Bantamweight,Decision - Split,3,5:00,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Barboza vs. Chikadze,2021-08-28,"Las Vegas, Nevada, USA",Andre Petroski,Andre Petroski,Micheal Gillmore,Middleweight,KO/TKO,3,3:12,3,Jason Herzog,False,men,[],,,[],,
UFC Fight Night: Barboza vs. Chikadze,2021-08-28,"Las Vegas, Nevada, USA",Pat Sabatini,Pat Sabatini,Jamall Emmers,Featherweight,Submission,1,1:53,3,Mark Smith,False,men,[],,,[],,
